% Model:              sensitivity_3d_2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Apr 30 2025, 11:19
% Table:              Table 4 - Punktauswertung 1
% x_disp (m)             y_disp (m)               sig_mod (S/m), Point: 2
0.0031875000000000002    0.004800000000000002     0.9999969944867534
0.0031875000000000002    0.006000000000000002     0.9999964843477126
0.0031875000000000002    0.0072000000000000015    0.9999951404983147
0.0031875000000000002    0.008400000000000001     0.9999947262412747
0.0031875000000000002    0.009600000000000004     0.9999935282969279
0.0031875000000000002    0.010800000000000004     0.9999927534256039
0.0031875000000000002    0.012000000000000004     0.9999912278391242
0.0031875000000000002    0.013200000000000003     0.9999913790224932
0.0031875000000000002    0.014400000000000003     0.9999903523915401
0.0031875000000000002    0.015600000000000003     0.9999896838708818
0.0031875000000000002    0.016800000000000002     0.9999893122919618
0.0031875000000000002    0.018000000000000002     0.9999881467059069
0.0031875000000000002    0.019200000000000002     0.9999878969119221
0.0031875000000000002    0.0204                   0.9999876930334554
0.0031875000000000002    0.0216                   0.9999873182095979
